CountryRegionName,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer,AvgMonthSpend,Age
Australia,Partial High School,Manual,M,S,1,1,0,0,29701,0.0,56.34,56
United Kingdom,High School,Skilled Manual,F,S,0,1,0,0,60650,0.0,52.97,31
United States,Bachelors,Skilled Manual,M,M,1,1,1,2,60481,0.0,48.38,41
United States,Partial College,Skilled Manual,F,S,0,2,0,0,57124,1.0,53.65,43
Australia,Bachelors,Skilled Manual,F,S,0,1,0,0,52756,0.0,54.54,41
Canada,Graduate Degree,Skilled Manual,F,S,1,1,0,1,54490,1.0,55.53,65
United Kingdom,Graduate Degree,Manual,M,M,1,0,1,2,29695,1.0,57.21,43
Australia,Graduate Degree,Professional,F,S,1,1,0,0,130954,1.0,54.09,38
United States,Bachelors,Skilled Manual,F,M,1,1,0,2,62032,1.0,60.89,58
France,High School,Clerical,M,S,0,2,0,0,76637,1.0,47.02,40
Australia,Partial College,Clerical,F,S,0,2,0,0,82641,1.0,52.57,26
Germany,Partial College,Management,M,S,0,2,0,0,111567,0.0,46.02,34
United States,Partial College,Clerical,M,M,1,0,1,2,83564,0.0,50.57,44
United States,Bachelors,Management,F,S,1,3,0,0,105074,1.0,52.48,38
United States,Bachelors,Clerical,M,M,1,2,1,2,78276,1.0,47.48,43
United States,Bachelors,Manual,F,M,1,0,0,2,35248,1.0,50.92,57
United States,Bachelors,Professional,F,M,1,2,0,2,137507,1.0,53.16,40
United Kingdom,Partial High School,Manual,M,M,0,1,0,0,31388,0.0,49.52,24
United States,High School,Clerical,F,M,0,3,0,0,84003,0.0,51.26,24
United States,High School,Skilled Manual,M,M,1,2,1,1,58820,1.0,52.91,43
United Kingdom,Partial College,Manual,M,S,0,0,0,0,34776,1.0,50.15,33
United States,High School,Skilled Manual,F,S,1,2,0,0,59268,1.0,49.32,47
Germany,High School,Skilled Manual,F,S,0,0,0,0,61278,0.0,49.88,32
Australia,High School,Manual,M,S,0,1,0,0,26918,0.0,51.18,32
United States,Graduate Degree,Management,M,M,1,2,0,0,108842,1.0,53.55,31
Canada,High School,Skilled Manual,F,M,1,2,1,2,60422,0.0,47.22,47
United States,Partial College,Skilled Manual,F,M,1,2,1,2,52540,0.0,45.79,44
United States,Bachelors,Skilled Manual,F,M,1,2,1,2,52620,0.0,55.12,45
United States,Partial High School,Skilled Manual,F,S,1,1,0,0,58560,1.0,49.75,47
United Kingdom,Partial College,Skilled Manual,M,S,0,1,0,0,53019,0.0,50.9,34
Australia,Partial College,Skilled Manual,M,M,0,1,1,1,60667,1.0,53.02,32
Australia,Partial High School,Manual,M,S,1,0,0,0,31165,1.0,53.75,55
Canada,Partial High School,Manual,M,S,1,1,0,1,25919,1.0,49.77,59
United States,Bachelors,Management,F,S,1,2,0,0,106016,0.0,49.94,37
United States,Partial College,Skilled Manual,F,M,1,1,1,2,53092,0.0,59.26,50
United States,Bachelors,Management,M,M,1,1,0,2,111876,0.0,46.63,34
France,Partial College,Management,M,S,1,3,1,1,109013,1.0,52.76,58
Canada,Graduate Degree,Clerical,F,S,0,3,0,0,79337,0.0,49.58,38
Australia,Graduate Degree,Skilled Manual,F,S,0,2,0,0,57972,1.0,50.77,38
France,High School,Skilled Manual,F,S,0,0,0,0,60113,1.0,52.73,36
United States,Partial College,Management,M,M,1,2,0,2,106415,0.0,51.8,47
Australia,High School,Manual,F,M,1,1,0,2,33637,1.0,54.51,49
Germany,Graduate Degree,Professional,F,M,1,1,2,2,133147,1.0,50.1,69
Australia,Bachelors,Skilled Manual,F,S,0,1,0,0,54550,1.0,50.87,25
Germany,Bachelors,Skilled Manual,M,M,1,1,2,2,52814,0.0,49.77,58
United States,Partial College,Clerical,M,S,0,2,0,0,87161,0.0,50.92,27
France,High School,Manual,M,M,1,1,1,2,26012,0.0,52.72,49
Australia,Graduate Degree,Clerical,M,M,1,3,1,2,84512,0.0,50.24,35
Germany,Bachelors,Skilled Manual,F,M,0,0,1,1,61488,1.0,57.6,35
United States,High School,Skilled Manual,M,M,1,1,1,2,56599,0.0,50.7,47
United Kingdom,High School,Manual,F,S,1,0,0,0,25900,1.0,48.76,54
United Kingdom,Graduate Degree,Skilled Manual,M,S,0,1,0,0,58170,0.0,45.21,43
Canada,Partial College,Skilled Manual,F,S,0,1,0,0,55112,0.0,48.85,37
United States,Bachelors,Clerical,F,S,0,1,0,0,85723,1.0,48.89,40
Australia,Partial College,Management,M,M,1,2,1,2,105476,1.0,53.94,43
Australia,Bachelors,Manual,M,M,0,1,1,1,27398,0.0,53.49,40
United States,Partial College,Skilled Manual,F,M,1,1,0,2,60238,1.0,55.3,53
United States,Partial College,Manual,F,S,0,0,0,0,28925,1.0,52.76,29
Canada,Partial College,Skilled Manual,F,S,0,1,0,0,52472,0.0,55.34,42
Germany,Partial College,Manual,F,S,0,0,0,0,34262,0.0,49.02,42
United States,High School,Clerical,M,M,1,3,1,2,81848,0.0,47.75,49
United States,Partial High School,Manual,M,M,1,0,0,2,31059,1.0,48.02,50
Australia,Partial College,Clerical,M,M,1,3,1,2,83923,0.0,50.5,52
United States,Partial College,Clerical,M,M,1,2,1,2,78674,0.0,45.05,57
Germany,Partial College,Clerical,M,M,1,1,0,2,77930,1.0,54.12,41
France,Partial High School,Skilled Manual,F,S,0,2,0,0,60280,1.0,51.01,40
Germany,Partial High School,Skilled Manual,M,M,0,0,0,0,54827,0.0,47.25,30
United States,Partial High School,Skilled Manual,M,M,1,1,2,2,51052,0.0,49.6,52
Australia,Bachelors,Manual,M,S,0,1,0,0,34761,1.0,49.27,26
United Kingdom,Partial College,Manual,M,M,1,0,0,1,27802,1.0,53.73,46
United States,Bachelors,Management,F,M,1,2,2,2,111377,1.0,51.66,65
Australia,Bachelors,Manual,M,S,0,0,0,0,36327,1.0,53.04,30
United States,Partial College,Manual,F,S,0,1,0,0,32176,1.0,50.25,28
United States,Partial College,Skilled Manual,F,S,0,2,0,0,54509,1.0,54.75,40
France,High School,Skilled Manual,F,M,1,1,1,2,59708,1.0,51.14,54
United States,Bachelors,Skilled Manual,M,S,0,2,0,0,61366,1.0,58.91,41
Australia,Bachelors,Clerical,M,S,0,2,0,0,77674,1.0,62.14,32
Australia,Bachelors,Professional,M,S,1,1,0,0,131003,1.0,51.67,32
Germany,Bachelors,Skilled Manual,M,M,0,1,1,2,53028,1.0,49.48,34
France,Partial College,Clerical,F,S,0,2,0,0,83894,0.0,50.08,26
Germany,Partial College,Clerical,M,S,0,2,0,0,85567,1.0,50.08,33
United States,Partial College,Management,M,M,1,2,1,2,108232,0.0,50.13,55
United States,Bachelors,Clerical,M,S,1,2,0,0,78862,1.0,53.71,42
Canada,High School,Skilled Manual,F,S,0,0,0,0,56947,1.0,50.66,24
United States,High School,Skilled Manual,F,M,1,1,1,2,52333,0.0,56.97,51
United States,Partial College,Manual,M,M,1,1,1,2,33416,1.0,55.63,46
Australia,Partial College,Clerical,F,S,1,2,0,0,78665,0.0,56.73,43
United States,Bachelors,Clerical,M,M,1,1,0,3,84403,0.0,51.35,58
United Kingdom,Partial College,Management,M,S,1,2,0,0,104571,0.0,46.67,42
United States,High School,Skilled Manual,M,S,0,0,0,0,57088,1.0,54.51,29
Australia,Bachelors,Management,M,S,1,1,0,0,112804,0.0,47.92,39
United States,Graduate Degree,Management,M,M,1,3,1,2,105252,0.0,48.65,32
United States,Partial High School,Manual,M,M,1,1,1,2,34489,1.0,56.15,50
Australia,Partial College,Skilled Manual,F,S,0,1,0,0,61916,0.0,54.45,44
United States,Bachelors,Manual,M,S,0,1,0,0,27541,0.0,48.15,39
Australia,Bachelors,Professional,M,S,1,2,0,0,137206,0.0,52.36,40
Australia,Bachelors,Manual,F,S,0,0,0,0,29707,1.0,48.33,39
United States,Partial College,Skilled Manual,M,S,0,0,0,0,56943,0.0,59.48,28
United States,Graduate Degree,Professional,F,M,1,2,2,3,131183,0.0,52.11,66
Australia,Bachelors,Professional,F,S,1,2,0,0,132151,1.0,52.26,39
Australia,Partial High School,Skilled Manual,F,M,1,1,0,2,53967,1.0,54.61,50
Germany,Bachelors,Management,F,M,1,2,0,2,112557,0.0,53.97,58
Australia,Partial College,Skilled Manual,F,S,0,0,0,0,59318,0.0,48.88,26
France,Partial College,Clerical,M,S,0,1,0,0,85758,0.0,55.96,40
United States,Graduate Degree,Professional,M,M,1,3,0,1,129836,1.0,51.54,34
Australia,Graduate Degree,Professional,F,M,1,2,0,0,136560,1.0,51.11,35
United States,Graduate Degree,Clerical,F,M,1,1,1,1,79382,0.0,50.49,38
United States,Bachelors,Manual,M,M,1,1,1,2,35266,0.0,52.66,43
France,Partial High School,Manual,M,S,0,0,0,0,26175,0.0,52.84,30
United States,Partial College,Manual,M,M,1,1,1,2,29652,0.0,47.35,56
Germany,Graduate Degree,Professional,M,S,1,3,0,0,135755,0.0,51.98,35
Canada,High School,Skilled Manual,M,M,1,0,2,2,59622,1.0,48.86,47
Germany,Partial College,Management,M,M,1,2,0,2,104679,0.0,50.16,55
United Kingdom,Bachelors,Skilled Manual,F,S,0,1,0,0,61004,1.0,57.73,44
Australia,Partial College,Skilled Manual,F,S,1,1,0,1,54600,1.0,49.04,67
Australia,Partial High School,Manual,F,S,1,0,0,0,27362,0.0,50.12,53
France,High School,Skilled Manual,F,S,0,1,0,0,59425,1.0,52.23,34
United States,High School,Skilled Manual,M,M,1,1,0,2,58494,1.0,54.79,64
France,Partial College,Clerical,F,M,1,1,0,2,81831,1.0,47.34,51
United Kingdom,High School,Clerical,M,M,1,1,2,2,85826,0.0,52.85,51
United States,High School,Skilled Manual,F,M,0,0,0,0,60555,1.0,56.34,28
United Kingdom,Partial High School,Skilled Manual,M,S,0,0,0,0,57695,1.0,52.51,30
United States,Partial College,Skilled Manual,M,S,0,1,0,0,51775,0.0,50.23,45
France,Bachelors,Manual,M,S,0,1,0,0,31350,0.0,48.44,43
Germany,Bachelors,Manual,M,M,1,1,2,2,36029,1.0,55.33,59
Germany,Partial College,Skilled Manual,F,S,1,1,0,0,54206,1.0,49.81,50
Australia,Bachelors,Clerical,M,M,1,2,1,2,82893,0.0,47.57,39
France,Partial College,Clerical,M,S,0,0,0,0,80367,1.0,50.58,33
Australia,Partial High School,Manual,F,M,0,0,1,1,36282,1.0,56.64,33
United Kingdom,Bachelors,Skilled Manual,F,M,1,0,0,2,51271,0.0,48.7,43
Australia,Bachelors,Management,F,M,1,3,1,2,111535,0.0,48.82,71
Australia,Bachelors,Skilled Manual,F,M,1,1,1,2,54635,1.0,54.37,46
Germany,Partial College,Manual,M,S,0,0,0,0,27876,0.0,51.53,25
Australia,High School,Manual,F,S,0,0,0,0,32901,1.0,47.81,47
United States,Graduate Degree,Professional,F,S,1,2,1,1,137284,0.0,53.08,67
Australia,High School,Skilled Manual,M,M,1,2,0,2,61163,1.0,59.11,60
United States,High School,Skilled Manual,F,S,1,1,0,0,60655,1.0,49.45,55
Australia,Bachelors,Clerical,M,M,1,1,1,1,79107,0.0,56.83,32
United Kingdom,Partial College,Management,M,S,0,3,0,0,103019,0.0,49.28,34
United States,High School,Skilled Manual,F,M,1,1,0,1,58014,1.0,54.98,48
Australia,Bachelors,Skilled Manual,F,S,0,2,0,0,59441,0.0,51.73,38
United States,Graduate Degree,Management,M,M,1,2,0,0,105769,1.0,52.21,42
United States,Partial College,Skilled Manual,F,M,1,2,1,2,50925,1.0,49.6,48
Germany,Bachelors,Professional,F,S,1,2,0,1,131578,1.0,52.15,65
United States,Partial College,Manual,F,M,1,1,1,2,28990,0.0,53.27,53
Canada,Bachelors,Management,F,S,1,2,1,1,107877,1.0,51.79,57
United States,Graduate Degree,Management,F,M,1,1,0,2,105403,1.0,56.09,35
Canada,High School,Skilled Manual,F,S,0,2,0,0,54479,0.0,58.29,30
United Kingdom,Graduate Degree,Clerical,F,M,1,1,0,1,77158,0.0,53.18,35
Australia,Bachelors,Skilled Manual,F,M,1,1,1,2,57637,1.0,49.66,46
United States,Bachelors,Clerical,F,S,0,1,0,0,79439,0.0,47.99,35
Australia,Bachelors,Clerical,M,S,1,3,0,0,83126,0.0,50.96,45
France,Graduate Degree,Professional,M,S,1,1,0,0,138246,0.0,51.96,35
United States,Bachelors,Clerical,M,S,1,1,0,0,78238,0.0,52.25,45
Canada,High School,Skilled Manual,M,S,0,0,0,0,61403,1.0,53.35,29
Germany,Bachelors,Skilled Manual,M,M,1,1,1,2,55693,1.0,51.86,37
United States,Partial High School,Manual,F,M,1,0,2,2,31151,0.0,46.56,50
Germany,Partial College,Skilled Manual,F,M,0,1,2,2,53987,0.0,52.54,36
United States,Partial College,Skilled Manual,F,S,0,2,0,0,53285,0.0,47.56,28
France,High School,Skilled Manual,F,S,0,1,0,0,61226,0.0,51.02,39
France,Bachelors,Management,F,M,1,3,1,2,104782,0.0,45.44,65
Australia,Bachelors,Skilled Manual,M,M,1,2,1,1,55145,0.0,49.71,45
United States,Partial College,Manual,F,M,1,0,0,2,31523,0.0,49.93,45
Canada,Bachelors,Professional,M,M,1,2,0,2,131918,0.0,46.03,61
United States,Partial High School,Manual,F,S,0,0,0,0,28866,0.0,48.16,50
United States,Bachelors,Clerical,M,M,1,1,0,2,83507,0.0,46.59,36
United States,Partial College,Manual,F,M,0,1,0,0,29532,1.0,52.71,28
United States,High School,Clerical,M,M,0,1,0,0,86576,1.0,52.86,27
United States,Graduate Degree,Manual,M,S,0,1,0,0,28298,1.0,52.3,46
United States,Partial College,Manual,F,M,1,0,2,2,25766,0.0,53.01,48
Canada,High School,Manual,M,S,0,0,0,0,33581,1.0,52.76,26
United Kingdom,High School,Manual,F,M,1,1,0,2,29825,1.0,55.65,48
France,High School,Clerical,M,S,1,3,0,0,80510,0.0,52.54,44
Australia,Partial College,Skilled Manual,F,M,1,2,1,2,57805,1.0,54.29,64
Germany,Bachelors,Skilled Manual,F,M,1,0,1,2,51562,1.0,54.96,46
United States,Partial College,Clerical,F,S,1,3,0,0,76743,1.0,48.98,44
United States,Graduate Degree,Clerical,F,M,1,2,1,2,76792,0.0,52.43,35
Germany,Graduate Degree,Manual,M,M,1,1,1,2,35468,1.0,47.92,43
Germany,Graduate Degree,Professional,F,M,1,2,0,2,131495,1.0,52.44,42
Germany,Partial College,Management,M,S,0,2,0,0,102757,1.0,55.35,25
United States,High School,Clerical,M,M,1,3,2,2,81728,0.0,49.58,44
United States,Bachelors,Skilled Manual,F,S,0,0,0,0,59009,0.0,48.42,39
Australia,Graduate Degree,Professional,F,M,1,2,0,0,133866,1.0,52.94,34
France,Partial College,Skilled Manual,F,S,0,0,0,0,51832,1.0,48.53,40
United Kingdom,Graduate Degree,Management,M,M,1,2,2,2,113344,0.0,54.73,51
Canada,Graduate Degree,Professional,M,S,1,1,0,0,137065,1.0,52.32,33
United Kingdom,Partial High School,Manual,F,S,0,1,0,0,29912,0.0,50.09,32
Germany,Bachelors,Skilled Manual,M,M,1,1,0,2,52678,0.0,51.36,37
Australia,Bachelors,Skilled Manual,M,M,1,2,1,1,61017,0.0,50.72,51
Australia,Bachelors,Skilled Manual,F,M,0,2,0,0,56374,0.0,49.82,24
Australia,Bachelors,Manual,M,M,1,0,0,2,34851,1.0,52.22,45
United States,Graduate Degree,Clerical,M,S,0,0,0,0,86368,0.0,48.81,37
United States,Partial College,Clerical,M,M,0,2,0,0,78686,0.0,51.86,27
Germany,Partial College,Skilled Manual,M,S,0,0,0,0,57022,0.0,54.82,25
Australia,Bachelors,Skilled Manual,F,S,0,0,0,0,51560,1.0,52.08,45
Germany,Partial High School,Manual,F,S,0,0,0,0,27757,1.0,50.27,32
United States,Partial College,Skilled Manual,F,S,1,2,0,0,52773,1.0,48.32,55
United States,Bachelors,Skilled Manual,F,S,0,0,0,0,51998,1.0,51.86,41
United States,Graduate Degree,Professional,F,S,1,2,0,0,128043,0.0,48.54,45
Germany,Graduate Degree,Professional,F,S,1,2,0,0,129188,1.0,53.9,36
Australia,Bachelors,Management,F,M,1,0,1,2,106425,0.0,47.84,62
United Kingdom,Partial High School,Skilled Manual,M,S,0,2,0,0,55496,0.0,48.93,33
Australia,Partial High School,Skilled Manual,F,M,1,0,0,2,56711,0.0,56.2,52
United Kingdom,Partial High School,Skilled Manual,M,S,0,2,0,0,59240,1.0,57.26,30
United States,Bachelors,Manual,F,S,0,0,0,0,35247,1.0,52.09,36
France,Bachelors,Skilled Manual,M,S,0,1,0,0,55159,0.0,53.92,45
United States,Partial College,Manual,F,S,1,1,0,0,35834,1.0,54.57,56
United Kingdom,Bachelors,Skilled Manual,M,M,1,1,0,1,57425,1.0,60.29,37
United States,Graduate Degree,Professional,M,S,1,2,0,1,137014,0.0,51.82,67
France,Partial College,Clerical,M,M,1,2,0,2,77918,0.0,50.83,47
Germany,Bachelors,Skilled Manual,M,M,1,1,2,2,56918,0.0,45.87,60
Canada,Partial College,Clerical,F,S,0,2,0,0,82389,0.0,51.84,29
United States,Bachelors,Clerical,M,M,1,1,1,2,87287,0.0,58.97,36
Australia,Bachelors,Clerical,M,M,1,1,2,2,81253,1.0,54.87,46
France,Partial High School,Skilled Manual,F,S,0,0,0,0,57993,1.0,53.04,33
United States,Bachelors,Skilled Manual,F,S,0,1,0,0,55763,1.0,56.28,37
United States,Partial High School,Manual,M,M,1,1,0,2,31579,1.0,58.34,60
United Kingdom,High School,Skilled Manual,F,S,0,1,0,0,53795,1.0,51.87,33
United States,Bachelors,Professional,M,M,1,2,0,2,127886,1.0,51.04,56
Canada,Partial College,Clerical,F,M,1,1,1,2,84024,1.0,49.91,42
United States,Partial College,Clerical,F,M,1,3,1,2,77832,1.0,52.74,57
United Kingdom,Graduate Degree,Professional,M,S,1,2,1,1,133962,1.0,49.37,61
Australia,Bachelors,Management,M,S,1,3,0,0,107107,0.0,49.04,39
United States,Partial College,Clerical,M,S,0,2,0,0,86073,0.0,56.43,30
France,Partial College,Clerical,F,S,1,0,1,1,87404,0.0,51.82,58
United States,Partial College,Clerical,M,M,0,1,0,0,83625,1.0,53.45,26
United States,Graduate Degree,Management,M,S,1,3,0,1,108790,0.0,49.03,64
United States,High School,Skilled Manual,F,M,1,2,1,2,55220,0.0,49.2,55
United States,Bachelors,Skilled Manual,F,M,1,0,0,2,61394,1.0,47.77,40
United States,Partial College,Clerical,M,M,1,1,1,2,85713,0.0,45.74,53
United States,Partial College,Clerical,M,S,0,2,0,0,79836,1.0,51.67,26
United States,Bachelors,Professional,M,M,1,2,1,2,136436,0.0,56.75,36
United States,Partial College,Skilled Manual,M,S,0,2,0,0,58865,1.0,51.34,26
United States,Partial College,Skilled Manual,M,S,0,2,0,0,51516,1.0,49.38,30
United States,High School,Skilled Manual,F,M,1,0,1,2,53751,1.0,51.83,50
United States,Partial College,Manual,F,S,0,0,0,0,32683,0.0,47.27,29
United States,Bachelors,Management,M,S,1,1,1,1,112675,1.0,53.15,57
United States,Graduate Degree,Professional,M,M,1,1,0,1,131561,0.0,46.88,46
United Kingdom,Partial College,Management,F,M,1,0,1,2,103012,1.0,48.74,47
United States,Bachelors,Manual,F,M,0,1,2,2,33983,0.0,48.68,34
United States,Bachelors,Skilled Manual,F,S,0,0,0,0,56603,0.0,49.46,39
United Kingdom,Partial High School,Manual,M,M,0,0,1,2,28876,1.0,50.84,32
United States,Bachelors,Skilled Manual,M,M,1,2,1,2,53259,0.0,46.07,55
France,High School,Manual,M,S,0,1,0,0,26003,1.0,56.27,39
United States,Bachelors,Skilled Manual,M,M,1,1,1,2,55095,1.0,48.52,58
France,Partial High School,Skilled Manual,F,S,0,1,0,0,54335,0.0,51.88,30
United States,Partial College,Skilled Manual,M,M,0,0,0,0,61858,1.0,50.48,25
Germany,High School,Skilled Manual,M,S,0,0,0,0,54471,1.0,51.53,32
Canada,High School,Manual,F,M,1,1,1,2,27965,1.0,50.88,56
Australia,Bachelors,Professional,F,M,1,2,1,2,130101,1.0,50.46,33
Australia,High School,Skilled Manual,M,M,1,2,1,2,54532,0.0,52.72,60
United States,Bachelors,Professional,F,M,1,2,0,2,137722,1.0,57.57,58
France,Partial College,Clerical,F,M,1,2,1,2,86938,1.0,51.31,36
Australia,High School,Skilled Manual,M,M,0,0,1,1,55489,1.0,48.91,33
United Kingdom,Bachelors,Clerical,M,M,1,1,1,2,85600,1.0,51.08,60
Australia,High School,Skilled Manual,F,M,0,2,1,1,58991,0.0,50.45,32
Germany,Bachelors,Professional,F,M,1,2,0,2,132104,1.0,51.11,63
United States,Partial College,Clerical,M,M,1,3,1,2,82286,0.0,62.28,54
Australia,Bachelors,Clerical,M,M,1,2,0,2,81644,1.0,49.18,40
Australia,Partial College,Skilled Manual,F,M,1,1,1,1,61918,1.0,58.18,44
Australia,Bachelors,Management,F,M,1,3,0,0,102426,1.0,57.08,40
Germany,Partial College,Clerical,M,M,1,1,0,2,87831,0.0,51.9,37
United States,Bachelors,Clerical,F,M,1,1,1,2,77415,0.0,48.56,36
United States,Bachelors,Management,M,S,1,2,0,0,104332,1.0,53.31,41
United States,Partial College,Skilled Manual,M,M,0,0,0,0,61742,0.0,52.66,29
United States,Partial College,Clerical,M,S,1,2,0,0,80235,0.0,48.63,48
Canada,Bachelors,Management,M,M,1,2,0,0,106925,1.0,50.24,44
United States,Graduate Degree,Professional,F,M,1,2,0,2,127291,0.0,50.43,46
Australia,Partial High School,Manual,F,S,1,1,0,0,33683,1.0,48.38,52
United States,Graduate Degree,Professional,F,S,1,0,0,0,137476,1.0,45.63,46
Australia,Bachelors,Professional,F,M,1,2,0,0,128112,0.0,52.0,39
France,High School,Skilled Manual,F,S,1,1,0,0,51922,0.0,51.36,51
United States,Partial College,Clerical,F,M,1,1,2,2,79215,1.0,59.6,47
Australia,Partial College,Clerical,M,M,0,2,0,0,86546,1.0,52.86,27
United States,Graduate Degree,Skilled Manual,F,M,1,1,1,2,56643,1.0,62.47,61
United States,Bachelors,Manual,F,M,1,0,2,2,30679,0.0,46.92,45
United States,Partial College,Skilled Manual,F,S,1,1,0,0,53393,0.0,50.92,48
United States,Graduate Degree,Manual,F,S,0,0,0,0,35022,0.0,53.76,32
France,Partial College,Skilled Manual,M,M,1,2,1,2,61543,1.0,52.32,39
Germany,Bachelors,Clerical,M,M,1,2,1,2,85709,1.0,53.22,41
Australia,Partial College,Management,M,M,1,3,1,2,110014,0.0,44.75,44
United States,High School,Manual,M,M,0,0,0,0,35483,1.0,50.42,27
Australia,Partial College,Skilled Manual,F,S,0,1,0,0,52540,1.0,54.44,43
United States,Bachelors,Clerical,F,S,0,3,0,0,79814,1.0,52.12,36
United States,Graduate Degree,Professional,F,M,1,2,0,0,128152,0.0,46.86,35
Australia,High School,Skilled Manual,M,M,1,2,1,1,51493,0.0,50.69,47
United States,Partial College,Manual,F,M,1,1,1,2,26112,0.0,53.68,44
United States,Bachelors,Manual,F,M,0,1,1,1,34771,1.0,54.02,36
United States,Graduate Degree,Management,F,S,0,0,0,0,110177,0.0,48.32,31
Australia,Partial College,Skilled Manual,M,M,1,2,1,2,51476,0.0,45.91,57
United Kingdom,Partial High School,Manual,M,M,0,1,1,2,28026,1.0,49.05,33
United States,Bachelors,Skilled Manual,F,S,1,2,0,1,52213,0.0,51.6,58
United States,Graduate Degree,Clerical,F,S,1,1,0,0,79735,1.0,56.36,46
United States,Partial College,Management,F,M,1,2,1,2,108155,0.0,48.86,46
Canada,High School,Skilled Manual,M,S,0,1,0,0,51192,0.0,55.13,30
United Kingdom,Bachelors,Manual,M,M,0,1,0,0,31224,0.0,49.82,29
United States,High School,Skilled Manual,M,S,0,0,0,0,51315,1.0,53.27,43
United States,Partial College,Clerical,M,M,1,3,0,1,82191,0.0,50.75,50
France,Graduate Degree,Professional,F,S,1,0,0,0,135452,1.0,51.81,42
United States,High School,Skilled Manual,F,M,1,1,0,2,53304,1.0,52.88,52
United States,Bachelors,Professional,M,S,1,2,0,0,133984,1.0,49.29,39
Canada,High School,Skilled Manual,F,S,0,0,0,0,52902,0.0,57.75,24
Canada,Bachelors,Skilled Manual,M,M,1,0,1,1,54768,1.0,45.96,40
United States,Bachelors,Management,F,M,1,0,0,2,106786,1.0,56.66,57
United States,Bachelors,Management,M,M,1,3,0,0,102974,0.0,48.04,40
United Kingdom,Partial College,Clerical,M,M,1,3,1,1,81033,0.0,50.99,36
United States,Bachelors,Skilled Manual,M,S,0,1,0,0,52166,0.0,54.37,41
United Kingdom,Graduate Degree,Management,M,M,1,2,0,0,106332,0.0,49.06,43
Australia,Partial College,Manual,F,M,1,1,0,1,31833,0.0,51.58,43
Australia,High School,Skilled Manual,M,M,1,1,1,2,55421,1.0,50.88,47
United States,Graduate Degree,Skilled Manual,M,M,0,1,0,1,53657,0.0,52.25,34
Australia,Partial College,Management,F,M,0,0,0,0,108185,0.0,54.51,24
Australia,Partial College,Management,F,S,1,1,0,0,111348,1.0,50.82,44
United States,Partial College,Skilled Manual,M,M,0,2,0,0,55375,1.0,54.62,31
Australia,Bachelors,Management,M,S,0,1,0,0,103480,0.0,51.05,29
United States,Bachelors,Management,M,M,1,3,0,2,107348,1.0,54.81,58
Australia,Graduate Degree,Professional,F,M,1,1,0,2,131433,0.0,46.01,35
Australia,Bachelors,Clerical,F,S,0,2,0,0,87293,0.0,49.4,39
United States,Partial College,Clerical,M,S,0,1,0,0,83608,1.0,51.2,29
France,Partial College,Clerical,M,M,1,1,1,1,83008,0.0,50.41,47
United States,Bachelors,Management,M,M,1,2,0,2,103098,0.0,50.2,58
United States,Bachelors,Management,M,S,1,2,1,1,111919,1.0,48.42,58
Australia,Partial High School,Manual,F,M,0,0,0,1,30323,0.0,52.02,33
France,Partial High School,Manual,F,S,0,1,0,0,27953,0.0,56.7,24
United States,High School,Clerical,M,M,1,3,2,2,77059,1.0,51.45,57
Canada,Bachelors,Clerical,M,M,1,1,0,2,84025,0.0,53.36,34
United States,Bachelors,Clerical,M,M,1,1,0,1,87115,0.0,52.52,35
Australia,Bachelors,Skilled Manual,M,S,0,0,0,0,55991,1.0,51.54,29
Canada,Partial College,Management,M,M,1,2,0,2,103377,1.0,49.99,42
Canada,Partial College,Skilled Manual,M,S,1,1,0,0,56746,0.0,54.29,55
Germany,High School,Skilled Manual,M,M,1,0,1,2,60621,1.0,52.75,48
Australia,Partial College,Clerical,M,S,0,1,0,0,83154,0.0,49.53,30
United States,Bachelors,Management,M,M,1,2,0,0,108565,0.0,52.82,40
Canada,Graduate Degree,Management,M,M,1,2,0,0,108579,0.0,49.47,33
Australia,Bachelors,Clerical,M,M,1,2,0,1,82263,1.0,52.82,34
United States,Graduate Degree,Manual,M,S,0,1,0,0,28509,1.0,50.08,40
United States,Bachelors,Skilled Manual,F,M,1,0,1,2,56214,1.0,51.4,54
United States,Partial High School,Manual,M,S,0,1,0,0,32176,1.0,60.25,27
United States,Bachelors,Professional,F,S,1,0,0,0,135640,0.0,51.45,35
Australia,Graduate Degree,Skilled Manual,F,S,0,1,0,0,58368,1.0,54.02,35
United States,Bachelors,Manual,M,M,0,1,1,1,35299,0.0,52.29,40
United States,High School,Clerical,F,S,0,2,0,0,78953,0.0,49.75,25
United Kingdom,Bachelors,Management,M,S,1,2,0,0,104280,1.0,59.77,37
United States,High School,Clerical,M,S,1,1,0,0,87624,1.0,53.3,43
Canada,Bachelors,Management,F,M,1,1,0,2,107898,1.0,53.56,34
Australia,High School,Manual,M,S,0,1,0,0,32735,0.0,49.47,47
France,Bachelors,Skilled Manual,F,S,1,1,0,0,53837,0.0,45.91,47
United States,High School,Clerical,F,M,1,1,0,2,78200,0.0,52.99,50
Australia,Bachelors,Management,M,S,1,1,0,0,102585,1.0,50.46,40
France,Graduate Degree,Clerical,M,S,1,2,0,0,77256,0.0,50.55,42
